FullAddress,Address1,Address2,City,State,ZipCode,revenue,date,Order Number,User ID,First Time Order
25102 Tom Loop Apt. 667,25102 Tom Loop ,Apt. 667 ,South Adam,FL,57896,236.81,2021-05-01,89974338,U5991814,1
385 Day Vista Suite 343,385 Day Vista ,Suite 343 ,Rogerville,WI,44492,104.06,2021-06-05,94679851,U2101836,1
53146 Jennings Shoals,53146 Jennings Shoals ,,Mathisport,NJ,73764,396.66,2021-02-22,95865484,U1954902,1
400 Katelyn Cliff South,400 Katelyn Cliff South ,,Andreamouth,CT,25889,155.82,2021-07-22,99357412,U7385862,1
19876 George Valleys Apt. 464,19876 George Valleys ,Apt. 464 ,New Derrick,MS,39894,67.45,2021-09-03,13446293,U4218152,0
55839 Valerie Highway,55839 Valerie Highway ,,Mooneytown,DE,06347,402.19,2021-03-21,27203871,U3222148,1
8197 Nguyen Spurs East,8197 Nguyen Spurs East ,,Linda,WY,15330,918.04,2021-02-16,12486997,U1259581,0
11434 Kristy Meadows,11434 Kristy Meadows ,,Hernandezfort,GA,75631,800.65,2021-02-04,76184365,U5442451,0
PSC 3812 Box 8151,PSC 3812 ,Box 8151 ,APO,AP,67962,765.4,2021-01-11,81605893,U3781280,1
403 Avila Lakes West,403 Avila Lakes West ,,Kylestad,GA,08549,222.71,2021-07-25,57266103,U2827284,1
635 Scott Center Apt. 015,635 Scott Center ,Apt. 015 ,Harryton,NE,21499,537.14,2021-10-09,53954221,U4403901,1
4273 Alisha Viaduct,4273 Alisha Viaduct ,,Wallaceland,KY,92286,277.41,2021-05-29,27364318,U9051541,1
909 Walker Plains,909 Walker Plains ,,Martinezfurt,AK,85986,173.49,2021-01-31,91575024,U8113107,1
8017 Moore Vista Suite 129,8017 Moore Vista ,Suite 129 ,Brownport,CT,22133,107.08,2021-04-24,91395550,U1011096,0
3149 Smith Mission East,3149 Smith Mission East ,,Sandraport,OK,31955,215.19,2021-09-24,66569670,U2119323,0
4825 Martin Stream Apt. 863,4825 Martin Stream ,Apt. 863 ,Coxhaven,NC,47599,927.55,2021-10-02,39491407,U1852308,1
0633 Chad Prairie Apt. 595,0633 Chad Prairie ,Apt. 595 ,West Jonathanport,RI,05983,829.09,2021-07-04,48858136,U9081920,1
87631 Burgess Mission Apt. 412,87631 Burgess Mission ,Apt. 412 ,Toddland,MI,27970,806.85,2021-05-22,58532296,U1910649,1
792 Emily Garden Suite 614,792 Emily Garden ,Suite 614 ,East Danielberg,NM,12466,800.65,2021-03-30,74507533,U3309659,0
913 David Greens Suite 096,913 David Greens ,Suite 096 ,Lindaberg,WA,80831,194.24,2021-02-24,83305175,U8192745,0
PSC 9492 Box 0417,PSC 9492 ,Box 0417 ,APO,AE,50817,310.54,2021-05-15,38064727,U2445024,1
707 Melendez Meadow,707 Melendez Meadow ,,New Maryfort,ID,09460,627.35,2021-04-20,41131109,U1488594,1
2064 Cruz Ferry,2064 Cruz Ferry ,,New Aprilborough,SC,39243,732.16,2021-01-14,61646338,U9313860,1
4787 Gay Estates,4787 Gay Estates ,,East Lisa,ME,43056,854.79,2021-11-25,20226063,U9470845,1
8101 Christopher Crossing Port,8101 Christopher Crossing Port ,,Angelaview,TX,34733,880.17,2021-05-14,29189825,U9460405,0
292 Martin Plains Suite 695,292 Martin Plains ,Suite 695 ,Lake Jamestown,OH,41108,87.63,2021-05-20,56795964,U2055889,0
